phrase_norm,phrase,lang,count,source,provenance,count_basis
fuck it s coming right at us major the barricade is burning i want our vgs up on that hill jackson hold down that rail i m on my way major,fuck it s coming right at us major the barricade is burning i want our vgs up on that hill jackson hold down that rail i m on my way major,en,1,agh_full,observed,observed
fuck man,fuck man,en,1,agh_full,observed,observed
fuck me xt is running redneck fuel tank first to blast,fuck me xt is running redneck fuel tank first to blast,en,1,agh_full,observed,observed
fuck off mr d you fucking bellings dumb ass fucking kid i m getting fucked over you asshole,fuck off mr d you fucking bellings dumb ass fucking kid i m getting fucked over you asshole,en,1,agh_full,observed,observed
fuck old penn yes yeah woo do i get a mic like you get yeah i was going to say show your camera yeah,fuck old penn yes yeah woo do i get a mic like you get yeah i was going to say show your camera yeah,en,1,agh_full,observed,observed
fuck please come back from the dead,fuck please come back from the dead,en,1,agh_full,observed,observed
fuck that alright the turn we got a single dennis you see him no look at the single low flyer oh yes in the front right yes yeah i got him,fuck that alright the turn we got a single dennis you see him no look at the single low flyer oh yes in the front right yes yeah i got him,en,1,agh_full,observed,observed
fuck that was pretty good,fuck that was pretty good,en,1,agh_full,observed,observed
fuck the house,fuck the house,en,1,agh_full,observed,observed
fuck this board great day today fellas everybody going to bed,fuck this board great day today fellas everybody going to bed,en,1,agh_full,observed,observed
fuck those worms are so annoying,fuck those worms are so annoying,en,1,agh_full,observed,observed
fuck yeah got a new model bitch see you later hey woo what does this do,fuck yeah got a new model bitch see you later hey woo what does this do,en,1,agh_full,observed,observed
fuck you doh,fuck you doh,en,1,agh_full,observed,observed
fuck you mine control,fuck you mine control,en,1,agh_full,observed,observed
fuck you shit,fuck you shit,en,1,agh_full,observed,observed
fuck your groups we re from the cotton outkast train wrecking to strains blueberry holidays red eyes in a daze yeah the bulls are munchies tingle bulls let s get some,fuck your groups we re from the cotton outkast train wrecking to strains blueberry holidays red eyes in a daze yeah the bulls are munchies tingle bulls let s get some,en,1,agh_full,observed,observed
fucked in the hookup we re good,fucked in the hookup we re good,en,1,agh_full,observed,observed
fucker man,fucker man,en,1,agh_full,observed,observed
fucking a shemi back down and there s the hut,fucking a shemi back down and there s the hut,en,1,agh_full,observed,observed
fucking god man we down 14 of them things oh,fucking god man we down 14 of them things oh,en,1,agh_full,observed,observed
fucking ground i couldn t believe it you see that it s made of,fucking ground i couldn t believe it you see that it s made of,en,1,agh_full,observed,observed
fucking knows i m aiming for his face oh shit,fucking knows i m aiming for his face oh shit,en,1,agh_full,observed,observed
fucking move he s like shit should i do it i think you want to fucking move,fucking move he s like shit should i do it i think you want to fucking move,en,1,agh_full,observed,observed
fucking poison james no it s not true you re a fucking idiot james we re going to be on the road and i m going to puke how do you know,fucking poison james no it s not true you re a fucking idiot james we re going to be on the road and i m going to puke how do you know,en,1,agh_full,observed,observed
fucking slut fucker f ing nuts,fucking slut fucker f ing nuts,en,1,agh_full,observed,observed
fucking sweet alright there s motherfucking knox 2 ready for battle,fucking sweet alright there s motherfucking knox 2 ready for battle,en,1,agh_full,observed,observed
fucks ass,fucks ass,en,1,agh_full,observed,observed
fuel cap release four person memory for the driver s seat,fuel cap release four person memory for the driver s seat,en,1,agh_full,observed,observed
fuel for life the fragrance by diesel use with caution,fuel for life the fragrance by diesel use with caution,en,1,agh_full,observed,observed
fuk you mother your mom suck my dick,fuk you mother your mom suck my dick,en,1,agh_full,observed,observed
fukuan ai ow ha kuh aah,fukuan ai ow ha kuh aah,en,1,agh_full,observed,observed
fulfill your childhood dream learn to shoot,fulfill your childhood dream learn to shoot,en,1,agh_full,observed,observed
full 4ah battery and the same again dry leaf and aluminum,full 4ah battery and the same again dry leaf and aluminum,en,1,agh_full,observed,observed
full canister of fuel we ve got a little scraper,full canister of fuel we ve got a little scraper,en,1,agh_full,observed,observed
full enclosure although it s off electronics are from 200 so now in 2013 maybe a little dated but they all were,full enclosure although it s off electronics are from 200 so now in 2013 maybe a little dated but they all were,en,1,agh_full,observed,observed
full localization to immerse yourself in the story the game is serious we are unlikely to sit here although i think the moments,full localization to immerse yourself in the story the game is serious we are unlikely to sit here although i think the moments,en,1,agh_full,observed,observed
full of girls chilling and talking about boys we do have to watch out for the leathers put it to the top bex i m parched,full of girls chilling and talking about boys we do have to watch out for the leathers put it to the top bex i m parched,en,1,agh_full,observed,observed
full of goodies there and this is what i love tim look at this we love this i just love this i love keyless go i just love it s fantastic,full of goodies there and this is what i love tim look at this we love this i just love this i love keyless go i just love it s fantastic,en,1,agh_full,observed,observed
full of stuff so i m just going to get the rest of that stuck on the bottom in here,full of stuff so i m just going to get the rest of that stuck on the bottom in here,en,1,agh_full,observed,observed
full pause in there is that it there,full pause in there is that it there,en,1,agh_full,observed,observed
full port gorgeous bahamas weather,full port gorgeous bahamas weather,en,1,agh_full,observed,observed
full speed so if you re not used to them you can put them in,full speed so if you re not used to them you can put them in,en,1,agh_full,observed,observed
full throttle once again it s now or never for the taxi will it flip or will this myth flop,full throttle once again it s now or never for the taxi will it flip or will this myth flop,en,1,agh_full,observed,observed
full velocidad rage dale pa la guapa el full man que le estamos esperando,full velocidad rage dale pa la guapa el full man que le estamos esperando,en,1,agh_full,observed,observed
full weather up steering wheel air fluid audio controls,full weather up steering wheel air fluid audio controls,en,1,agh_full,observed,observed
fun,fun,en,1,agh_full,observed,observed
fun now the jingle hop has begun jingle bell rock jingle bells,fun now the jingle hop has begun jingle bell rock jingle bells,en,1,agh_full,observed,observed
fun yeah it was fun the first like 80 hours,fun yeah it was fun the first like 80 hours,en,1,agh_full,observed,observed
fungal you,fungal you,en,1,agh_full,observed,observed
funky looking tower over there no not yet it looks a lot like a parking lot i don t think so,funky looking tower over there no not yet it looks a lot like a parking lot i don t think so,en,1,agh_full,observed,observed
funny,funny,en,1,agh_full,observed,observed
funny talking,funny talking,en,1,agh_full,observed,observed
further we have a new test called the 2m max test which is full throttle at 2m,further we have a new test called the 2m max test which is full throttle at 2m,en,1,agh_full,observed,observed
furthest turbine is from here and amazing to think you can t really hear anything much noise of any at all but uh,furthest turbine is from here and amazing to think you can t really hear anything much noise of any at all but uh,en,1,agh_full,observed,observed
fuu you,fuu you,en,1,agh_full,observed,observed
fy faen hva er det som skjer,fy faen hva er det som skjer,no,1,hf_noise,observed,observed
fyrir að fjalla með þér,fyrir að fjalla með þér,is,1,hf_noise,observed,observed
fórmáin yfanc,fórmáin yfanc,fo,1,hf_noise,observed,observed
g e l r g i a,g e l r g i a,en,1,agh_full,observed,observed
g i l e a we got a squad car and ambulance over in palomino creek right now relax i m on my way,g i l e a we got a squad car and ambulance over in palomino creek right now relax i m on my way,en,1,agh_full,observed,observed
g no please live oh that person died oh,g no please live oh that person died oh,en,1,agh_full,observed,observed
gaa,gaa,en,1,agh_full,observed,observed
gabriel sanchez is crazy but he s a sexy creature,gabriel sanchez is crazy but he s a sexy creature,en,1,agh_full,observed,observed
gae,gae,te,1,hf_noise,observed,observed
gagasys lord of the enfield bash,gagasys lord of the enfield bash,en,1,agh_full,observed,observed
gages stereo,gages stereo,en,1,agh_full,observed,observed
gah ugh ooh ugh ah,gah ugh ooh ugh ah,en,1,agh_full,observed,observed
gained weight so i don t know if it s just a bee population thing queen anne had previously quite a high population of bees,gained weight so i don t know if it s just a bee population thing queen anne had previously quite a high population of bees,en,1,agh_full,observed,observed
galaxy poop,galaxy poop,en,1,agh_full,observed,observed
galveston police officer gregory paris is used to making traffic stops but this stop made his heart beat faster than any other stop,galveston police officer gregory paris is used to making traffic stops but this stop made his heart beat faster than any other stop,en,1,agh_full,observed,observed
game,game,en,1,agh_full,observed,observed
game for it what s up a little cocaine to get started yeah easy up the start of it,game for it what s up a little cocaine to get started yeah easy up the start of it,en,1,agh_full,observed,observed
game is make the black stuff go away,game is make the black stuff go away,en,1,agh_full,observed,observed
game on,game on,en,1,agh_full,observed,observed
game opener is duck hunt duo,game opener is duck hunt duo,en,1,agh_full,observed,observed
game over,game over,mn,1,hf_noise,observed,observed
game see you in the morning maybe i ll give you a little walk around of the compound here,game see you in the morning maybe i ll give you a little walk around of the compound here,en,1,agh_full,observed,observed
game this wasn t from the beginning and it looks like i already got a hard aim to cross the map gears 2 style um but for most of you guys that don t know um,game this wasn t from the beginning and it looks like i already got a hard aim to cross the map gears 2 style um but for most of you guys that don t know um,en,1,agh_full,observed,observed
game tonka here neal good boy,game tonka here neal good boy,en,1,agh_full,observed,observed
garam masala i seeds leaves at the beginning now i m going to go with some onion now my onion,garam masala i seeds leaves at the beginning now i m going to go with some onion now my onion,en,1,agh_full,observed,observed
garbage,garbage,en,1,agh_full,observed,observed
garde,garde,ha,1,hf_noise,observed,observed
garden has come and gone after your garden season take some sandpaper and sand the wood down wherever it s been worn away from all its use then take some polyurethane or sparurethane,garden has come and gone after your garden season take some sandpaper and sand the wood down wherever it s been worn away from all its use then take some polyurethane or sparurethane,en,1,agh_full,observed,observed
garden well at least the head s gonna see ya let s just hope he don t muck it up are we off oh lose the hat i like it off no,garden well at least the head s gonna see ya let s just hope he don t muck it up are we off oh lose the hat i like it off no,en,1,agh_full,observed,observed
garima,garima,bn,1,hf_noise,observed,observed
garlic and give them about 30 seconds,garlic and give them about 30 seconds,en,1,agh_full,observed,observed
garlic and the little bit of oil that s left at the bottom of the wok,garlic and the little bit of oil that s left at the bottom of the wok,en,1,agh_full,observed,observed
garlic is ready put the dry shrimps in,garlic is ready put the dry shrimps in,en,1,agh_full,observed,observed
garlic okay the onions have browned a little bit it s been maybe not even two minutes now it s time to add the ground beef and i ve got a half a pound of ground beef i,garlic okay the onions have browned a little bit it s been maybe not even two minutes now it s time to add the ground beef and i ve got a half a pound of ground beef i,en,1,agh_full,observed,observed
garlic onion ginger let s wait for the onion to be soft and the garlic to be soft,garlic onion ginger let s wait for the onion to be soft and the garlic to be soft,en,1,agh_full,observed,observed
garlic paste mix well and fry till it becomes brown,garlic paste mix well and fry till it becomes brown,en,1,agh_full,observed,observed
garlic starts to smell nice i put it back in the pot,garlic starts to smell nice i put it back in the pot,en,1,agh_full,observed,observed
garlic stir that down,garlic stir that down,en,1,agh_full,observed,observed
gas goes in here butane goes in here,gas goes in here butane goes in here,en,1,agh_full,observed,observed
gasping in the 24 7 globalised rat race of the 21st century,gasping in the 24 7 globalised rat race of the 21st century,en,1,agh_full,observed,observed
gatorade bottle okay i have the two holes in the gatorade bottle,gatorade bottle okay i have the two holes in the gatorade bottle,en,1,agh_full,observed,observed
gaur egun ez dut hau,gaur egun ez dut hau,eu,1,hf_noise,observed,observed
gavku and the lazy spoiled kitty,gavku and the lazy spoiled kitty,en,1,agh_full,observed,observed
gear below there s some bearings that are in a race and they can melt if you let it get too hot,gear below there s some bearings that are in a race and they can melt if you let it get too hot,en,1,agh_full,observed,observed
gear down you can backpedal with no issues you will kind of get some it will shift down for those top two gears but the rest of the,gear down you can backpedal with no issues you will kind of get some it will shift down for those top two gears but the rest of the,en,1,agh_full,observed,observed
gear here turn around did you get the idea,gear here turn around did you get the idea,en,1,agh_full,observed,observed
gedaan,gedaan,af,1,hf_noise,observed,observed
gee it sure is boring around here,gee it sure is boring around here,en,1,agh_full,observed,observed
gee that was atomic tobacco,gee that was atomic tobacco,en,1,agh_full,observed,observed
gegeben pari sheshmang,gegeben pari sheshmang,gu,1,hf_noise,observed,observed
gemiose nemesis erogeos,gemiose nemesis erogeos,en,1,agh_full,observed,observed
gen 티ến,gen 티ến,tk,1,hf_noise,observed,observed
general views even the general machines alg 200 this is the excess i have not yet finished,general views even the general machines alg 200 this is the excess i have not yet finished,en,1,agh_full,observed,observed
genial,genial,en,1,agh_full,observed,observed
gentle,gentle,en,1,agh_full,observed,observed
gentle like the breeze she needs to be what you have to be gentle like the breeze,gentle like the breeze she needs to be what you have to be gentle like the breeze,en,1,agh_full,observed,observed
gentlemen shall we after you ahem all in a day s work heartwarming,gentlemen shall we after you ahem all in a day s work heartwarming,en,1,agh_full,observed,observed
gently add a little pressure aha i hear it i don t know if you can hear that or not,gently add a little pressure aha i hear it i don t know if you can hear that or not,en,1,agh_full,observed,observed
gently now remove my mask what the hell,gently now remove my mask what the hell,en,1,agh_full,observed,observed
george,george,en,1,agh_full,observed,observed
george how much is this it s a lot right all colors,george how much is this it s a lot right all colors,en,1,agh_full,observed,observed
george jefferson dead oh my god not that we moving on now,george jefferson dead oh my god not that we moving on now,en,1,agh_full,observed,observed
george knew curly s lynch mob was coming and knew what they would do to his friend maybe he was trying to protect him,george knew curly s lynch mob was coming and knew what they would do to his friend maybe he was trying to protect him,en,1,agh_full,observed,observed
georgina,georgina,en,1,agh_full,observed,observed
german black lapper tank,german black lapper tank,en,1,agh_full,observed,observed
germany,germany,ka,1,hf_noise,observed,observed
germany late last week all part of an effort to reassure european allies that the u s will deter further aggression by russian pressure,germany late last week all part of an effort to reassure european allies that the u s will deter further aggression by russian pressure,en,1,agh_full,observed,observed
gerrard street view north along gerrard street to the right of the gerrard street,gerrard street view north along gerrard street to the right of the gerrard street,en,1,agh_full,observed,observed
gertie girl what a girl a zeezy zitty girl wearing her diapers yeah,gertie girl what a girl a zeezy zitty girl wearing her diapers yeah,en,1,agh_full,observed,observed
gertrudis,gertrudis,en,1,agh_full,observed,observed
get a bit more heat through our chicken although it s still fairly warm,get a bit more heat through our chicken although it s still fairly warm,en,1,agh_full,observed,observed
get a few hand tools like that,get a few hand tools like that,en,1,agh_full,observed,observed
get a fish see how it goes,get a fish see how it goes,en,1,agh_full,observed,observed
get a go oh my goodness,get a go oh my goodness,en,1,agh_full,observed,observed
get a good look what s that good smell you re gonna tear this up,get a good look what s that good smell you re gonna tear this up,en,1,agh_full,observed,observed
get a man advantage there with size the problem with playing excellent basketball against a great team is you don t lead by much but if you keep coming with this,get a man advantage there with size the problem with playing excellent basketball against a great team is you don t lead by much but if you keep coming with this,en,1,agh_full,observed,observed
get a new random value at each press of the button and let it hang indefinitely with nothing in the clock s cv input jack it s attenuated,get a new random value at each press of the button and let it hang indefinitely with nothing in the clock s cv input jack it s attenuated,en,1,agh_full,observed,observed
get about a gallon and a third out of this 3 inch,get about a gallon and a third out of this 3 inch,en,1,agh_full,observed,observed
get all defensive like coaches don t really do that i am totally over exaggerating,get all defensive like coaches don t really do that i am totally over exaggerating,en,1,agh_full,observed,observed
get all those seeds out all right i ll set this aside i m going to start toasting my bread now one thing that s really special about this bread,get all those seeds out all right i ll set this aside i m going to start toasting my bread now one thing that s really special about this bread,en,1,agh_full,observed,observed
get around go alive awake good girl,get around go alive awake good girl,en,1,agh_full,observed,observed
get away from that parked car,get away from that parked car,en,1,agh_full,observed,observed
get back,get back,en,1,agh_full,observed,observed
get back in the race come on,get back in the race come on,en,1,agh_full,observed,observed
get back up,get back up,en,1,agh_full,observed,observed
get closer girl oh no he s lost that thing,get closer girl oh no he s lost that thing,en,1,agh_full,observed,observed
get comfortable first,get comfortable first,en,1,agh_full,observed,observed
get done with this and get to cooking,get done with this and get to cooking,en,1,agh_full,observed,observed
get down all my people on the floor get down everybody down,get down all my people on the floor get down everybody down,en,1,agh_full,observed,observed
get from any bakers as long as it s white it s fine for the bees we re going to be putting on one of our six frame nooks today but this is exactly the,get from any bakers as long as it s white it s fine for the bees we re going to be putting on one of our six frame nooks today but this is exactly the,en,1,agh_full,observed,observed
get good at it and then start running it but it s the bouncing hen and the bouncing hen it s not a,get good at it and then start running it but it s the bouncing hen and the bouncing hen it s not a,en,1,agh_full,observed,observed
get halo by soyl out now at hmv top dog for music,get halo by soyl out now at hmv top dog for music,en,1,agh_full,observed,observed
get her,get her,en,1,agh_full,observed,observed
get her back on him go up wait till he turns around and gets some good video of him,get her back on him go up wait till he turns around and gets some good video of him,en,1,agh_full,observed,observed
get him get the fuck get him,get him get the fuck get him,en,1,agh_full,observed,observed
get him going,get him going,en,1,agh_full,observed,observed
get him here walk in,get him here walk in,en,1,agh_full,observed,observed
get him oh,get him oh,en,1,agh_full,observed,observed
get him psst,get him psst,en,1,agh_full,observed,observed
get him see the hen or the male kill him get him nice that s it,get him see the hen or the male kill him get him nice that s it,en,1,agh_full,observed,observed
get him tom all right buddy you betcha,get him tom all right buddy you betcha,en,1,agh_full,observed,observed
get him yeah we got it get it maya,get him yeah we got it get it maya,en,1,agh_full,observed,observed
get his heart that heart oh no you got his leg one more time,get his heart that heart oh no you got his leg one more time,en,1,agh_full,observed,observed
get in fuck they re shooting me get the fuck in,get in fuck they re shooting me get the fuck in,en,1,agh_full,observed,observed
get into this alright thanks to it you know better alright that s what happens when you do that get back,get into this alright thanks to it you know better alright that s what happens when you do that get back,en,1,agh_full,observed,observed
get it cut before it s any seed because we re trying to keep the johnson grass down as much as possible these are actually,get it cut before it s any seed because we re trying to keep the johnson grass down as much as possible these are actually,en,1,agh_full,observed,observed
get it in here this is cooking really fast i can t believe how fast this is cooking,get it in here this is cooking really fast i can t believe how fast this is cooking,en,1,agh_full,observed,observed
get it let that happen if only you guys could see what was right down there,get it let that happen if only you guys could see what was right down there,en,1,agh_full,observed,observed
get it right in where you had it last night yeah ready to go up or down i m ready to go up see how fast it goes down yeah go down,get it right in where you had it last night yeah ready to go up or down i m ready to go up see how fast it goes down yeah go down,en,1,agh_full,observed,observed
get it right now the only bad news is that when he goes to sleep he s gonna end up waking up really fucking late okay,get it right now the only bad news is that when he goes to sleep he s gonna end up waking up really fucking late okay,en,1,agh_full,observed,observed
get my baking sheet over i got a lined aluminum foil,get my baking sheet over i got a lined aluminum foil,en,1,agh_full,observed,observed
get my hook and just turn your machine on,get my hook and just turn your machine on,en,1,agh_full,observed,observed
get off evidently i was wrong,get off evidently i was wrong,en,1,agh_full,observed,observed
get off him,get off him,en,1,agh_full,observed,observed
get off the boat,get off the boat,en,1,agh_full,observed,observed
get off the street everyone,get off the street everyone,en,1,agh_full,observed,observed
get oh dude that hurts so bad oh,get oh dude that hurts so bad oh,en,1,agh_full,observed,observed
get on get the big one,get on get the big one,en,1,agh_full,observed,observed
get on jayla,get on jayla,en,1,agh_full,observed,observed
get on the side kind of rake them down with your cloth get as much in there as you can,get on the side kind of rake them down with your cloth get as much in there as you can,en,1,agh_full,observed,observed
get one man get one if you are looking for something that can help you in the rain these are good air filters man get one alright man,get one man get one if you are looking for something that can help you in the rain these are good air filters man get one alright man,en,1,agh_full,observed,observed
get one more you can dunk it man,get one more you can dunk it man,en,1,agh_full,observed,observed
get online it might be slightly less annoying where well it s a bit more bullets so 84,get online it might be slightly less annoying where well it s a bit more bullets so 84,en,1,agh_full,observed,observed
get out of here no matrix,get out of here no matrix,en,1,agh_full,observed,observed
get out of here ow this hurts the feet here comes a little bit of guacam,get out of here ow this hurts the feet here comes a little bit of guacam,en,1,agh_full,observed,observed
get out of here you white bastards,get out of here you white bastards,en,1,agh_full,observed,observed
get out of there it must have been rigged to an alarm,get out of there it must have been rigged to an alarm,en,1,agh_full,observed,observed
get out that s gonna be so good in a couple hours,get out that s gonna be so good in a couple hours,en,1,agh_full,observed,observed
get over here,get over here,en,1,agh_full,observed,observed
get parboiled potatoes and put this right in with the sauce scotch bonnet peppers would work,get parboiled potatoes and put this right in with the sauce scotch bonnet peppers would work,en,1,agh_full,observed,observed
get per minute it s a low investment partner and we have thousands and thousands of people,get per minute it s a low investment partner and we have thousands and thousands of people,en,1,agh_full,observed,observed
get ready for bed time to change don t forget my dummy she really moves and closes her eyes missy kissy loves to be with her mummy missy kissy exclusive now at smith s toy superstores,get ready for bed time to change don t forget my dummy she really moves and closes her eyes missy kissy loves to be with her mummy missy kissy exclusive now at smith s toy superstores,en,1,agh_full,observed,observed
get ready for takeoff,get ready for takeoff,en,1,agh_full,observed,observed
get ready get on fire,get ready get on fire,en,1,agh_full,observed,observed
get ready guys take a mic max,get ready guys take a mic max,en,1,agh_full,observed,observed
get ready on this pair y all,get ready on this pair y all,en,1,agh_full,observed,observed
get ready to keep them at bay new jungle formula the best mosquito protection for every situation jungle formula your protection of choice,get ready to keep them at bay new jungle formula the best mosquito protection for every situation jungle formula your protection of choice,en,1,agh_full,observed,observed
get rid of the power plant then i will proceed to double bolt a worm coil engine,get rid of the power plant then i will proceed to double bolt a worm coil engine,en,1,agh_full,observed,observed
get set go,get set go,en,1,agh_full,observed,observed
get set hhs,get set hhs,en,1,agh_full,observed,observed
get some,get some,en,1,agh_full,observed,observed
get some forks ready open it up put it on the plate et voila one,get some forks ready open it up put it on the plate et voila one,en,1,agh_full,observed,observed
get started,get started,en,1,agh_full,observed,observed
get that,get that,en,1,agh_full,observed,observed
get that cup super heated real good now we ll just wait,get that cup super heated real good now we ll just wait,en,1,agh_full,observed,observed
get that cut started,get that cut started,en,1,agh_full,observed,observed
get that gas going i don t know if it will show up yeah there it goes,get that gas going i don t know if it will show up yeah there it goes,en,1,agh_full,observed,observed
get that motherfucker up there,get that motherfucker up there,en,1,agh_full,observed,observed
get the,get the,en,1,agh_full,observed,observed
get the ground shooting,get the ground shooting,en,1,agh_full,observed,observed
get the hold on,get the hold on,en,1,agh_full,observed,observed
get the hoses ready,get the hoses ready,en,1,agh_full,observed,observed
get the power you need without the hassle of gas the light quiet easy to start black decker 20 volt max string trimmer with extended run time,get the power you need without the hassle of gas the light quiet easy to start black decker 20 volt max string trimmer with extended run time,en,1,agh_full,observed,observed
get the saw started get this cut and we ll be ready to roll,get the saw started get this cut and we ll be ready to roll,en,1,agh_full,observed,observed
get them over here little black bass man nice wait now that could be a largemouth i don t know it s a large mouth,get them over here little black bass man nice wait now that could be a largemouth i don t know it s a large mouth,en,1,agh_full,observed,observed
get this going now this is hot water in here so it shouldn t take long as soon as it,get this going now this is hot water in here so it shouldn t take long as soon as it,en,1,agh_full,observed,observed
get this on the system,get this on the system,en,1,agh_full,observed,observed
get to see any of it is i made my homemade stir fry now i can t show it to you because,get to see any of it is i made my homemade stir fry now i can t show it to you because,en,1,agh_full,observed,observed
get up great awesome great,get up great awesome great,en,1,agh_full,observed,observed
get up here,get up here,en,1,agh_full,observed,observed
get up let s make,get up let s make,en,1,agh_full,observed,observed
get yes nice master spell dude,get yes nice master spell dude,en,1,agh_full,observed,observed
get you,get you,en,1,agh_full,observed,observed
get your ass over here help me out lawrence over there,get your ass over here help me out lawrence over there,en,1,agh_full,observed,observed
get your cleaner,get your cleaner,en,1,agh_full,observed,observed
get your fat ass over here i m not letting you in here you better wipe that on the snow you see this,get your fat ass over here i m not letting you in here you better wipe that on the snow you see this,en,1,agh_full,observed,observed
get your outside temperature compass garage door opener,get your outside temperature compass garage door opener,en,1,agh_full,observed,observed
get your own,get your own,en,1,agh_full,observed,observed
get your toy dunderball it s time to go reports of officers down all units respond to,get your toy dunderball it s time to go reports of officers down all units respond to,en,1,agh_full,observed,observed
getor,getor,as,1,hf_noise,observed,observed
gets limited we enter the beash area home of the soka,gets limited we enter the beash area home of the soka,en,1,agh_full,observed,observed
gets nice and crisp it s almost like it s deep fried but it s not just seared and that s because i m aerating it and turning it every now and again,gets nice and crisp it s almost like it s deep fried but it s not just seared and that s because i m aerating it and turning it every now and again,en,1,agh_full,observed,observed
getting both pegs on one of your crinies just grab a cross jump up or jump off right away,getting both pegs on one of your crinies just grab a cross jump up or jump off right away,en,1,agh_full,observed,observed
getting chock a block with all these calves so what i ve actually done is i ve created an extra pen in the back of the silage clamp now we ve finished our silage so it s a temporary kind of,getting chock a block with all these calves so what i ve actually done is i ve created an extra pen in the back of the silage clamp now we ve finished our silage so it s a temporary kind of,en,1,agh_full,observed,observed
getting money and lucky stuff live from new york getting reaper the bullies up live from new york getting niggas high in style and throwin butt pants up warm little bitch up live from new york,getting money and lucky stuff live from new york getting reaper the bullies up live from new york getting niggas high in style and throwin butt pants up warm little bitch up live from new york,en,1,agh_full,observed,observed
getting most of their flights done as well as just about ready to start training,getting most of their flights done as well as just about ready to start training,en,1,agh_full,observed,observed
getting pretty close to the minimum level,getting pretty close to the minimum level,en,1,agh_full,observed,observed
getting ready for another alaska wildfire,getting ready for another alaska wildfire,en,1,agh_full,observed,observed
getting some close up shots,getting some close up shots,en,1,agh_full,observed,observed
getting the soap lathered covering our wrists and our hands and then we re going to start going for a minimum of 15 seconds,getting the soap lathered covering our wrists and our hands and then we re going to start going for a minimum of 15 seconds,en,1,agh_full,observed,observed
getting there not quite now if you like it a lot hotter pour in the whole bottle and if you like it hot,getting there not quite now if you like it a lot hotter pour in the whole bottle and if you like it hot,en,1,agh_full,observed,observed
getting too close to it,getting too close to it,en,1,agh_full,observed,observed
getting warmed up and i trimmed a little fat off the edge that s been nice and warm listen,getting warmed up and i trimmed a little fat off the edge that s been nice and warm listen,en,1,agh_full,observed,observed
gh how secure is that,gh how secure is that,en,1,agh_full,observed,observed
ghati,ghati,gu,1,hf_noise,observed,observed
ghoda meetha kaniyaram,ghoda meetha kaniyaram,en,1,agh_full,observed,observed
giant viewing window but getting in the tunnel is pure magic we have six sea lions in the exhibit side,giant viewing window but getting in the tunnel is pure magic we have six sea lions in the exhibit side,en,1,agh_full,observed,observed
giddy,giddy,en,1,agh_full,observed,observed
gidim,gidim,uz,1,hf_noise,observed,observed
gimmick of this stage there must be a shitload of witches ha this guy,gimmick of this stage there must be a shitload of witches ha this guy,en,1,agh_full,observed,observed
ginger and garlic in stir,ginger and garlic in stir,en,1,agh_full,observed,observed
ginger and lemon grass,ginger and lemon grass,en,1,agh_full,observed,observed
ginger paste now and let s chop it off with the green onion tops,ginger paste now and let s chop it off with the green onion tops,en,1,agh_full,observed,observed
ginger root put that in there give it a nice stir around,ginger root put that in there give it a nice stir around,en,1,agh_full,observed,observed
ginger sweet pepper,ginger sweet pepper,en,1,agh_full,observed,observed
girim,girim,uz,1,hf_noise,observed,observed
girl it s emma i will speak the name,girl it s emma i will speak the name,en,1,agh_full,observed,observed
girl you got beautiful new feathers coming in won t be long until you ll be pretty again look at those awful feathers,girl you got beautiful new feathers coming in won t be long until you ll be pretty again look at those awful feathers,en,1,agh_full,observed,observed
girls are weird hey yeah you wanna come see me,girls are weird hey yeah you wanna come see me,en,1,agh_full,observed,observed
give a smile some don t kill the mosquito that always bothers you with ritsec it doesn t give the mosquito a chance including the hidden one,give a smile some don t kill the mosquito that always bothers you with ritsec it doesn t give the mosquito a chance including the hidden one,en,1,agh_full,observed,observed
give him a little tap there you go here give him a kiss i can t do it anymore i ve got to stay with my customer it s harder to train the cat or the dolphin,give him a little tap there you go here give him a kiss i can t do it anymore i ve got to stay with my customer it s harder to train the cat or the dolphin,en,1,agh_full,observed,observed
give him five seconds to comply i can get a nice and less than five seconds three two one get down,give him five seconds to comply i can get a nice and less than five seconds three two one get down,en,1,agh_full,observed,observed
give it a go,give it a go,en,1,agh_full,observed,observed
give it a good mix and we are going to add our hot water that you have got ready,give it a good mix and we are going to add our hot water that you have got ready,en,1,agh_full,observed,observed
give it a good old whack we ll figure it out see how it goes let s try it out,give it a good old whack we ll figure it out see how it goes let s try it out,en,1,agh_full,observed,observed
give it a quick stir so it doesn t stick put the lid on and turn it down to a,give it a quick stir so it doesn t stick put the lid on and turn it down to a,en,1,agh_full,observed,observed
give it a quick stir to combine,give it a quick stir to combine,en,1,agh_full,observed,observed
give it a second pass now you d think with a treatment like this,give it a second pass now you d think with a treatment like this,en,1,agh_full,observed,observed
give it faster paul give it faster,give it faster paul give it faster,en,1,agh_full,observed,observed
give it some gas,give it some gas,en,1,agh_full,observed,observed
give it some yeah arms down here we go arms down again bring it low,give it some yeah arms down here we go arms down again bring it low,en,1,agh_full,observed,observed
give it up tough guy,give it up tough guy,en,1,agh_full,observed,observed
give me a big kiss,give me a big kiss,en,1,agh_full,observed,observed
give me a hand here,give me a hand here,en,1,agh_full,observed,observed
give me a slice of no i m giving you money you little bastard ready call the shots,give me a slice of no i m giving you money you little bastard ready call the shots,en,1,agh_full,observed,observed
